Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
International Bunker Fuelsb,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
N2O,67.6,69.3,72.6,75.4,77.8,79.6,81.6,82.9,83.6,81.2,81.6,78.3,77.4,76.4,75.2,72.1,70.9,67.1,64.3,60.1,61.6,59,54.1,54.6,53.1,49.2,47.8,45.2,44
Stationary Combustion,25.1,25,25.3,26,26.6,26.8,27.5,28,28.3,28.4,29.8,29.4,30.5,31.8,33.1,34.3,34,34.4,34,31.6,34.2,32.9,30.3,32.7,33,30.5,30,28.6,28.4
Mobile Combustion,42,43.9,46.9,48.9,50.8,52.3,53.6,54.5,54.9,52.5,51.4,48.5,46.5,44.2,41.7,37.3,36.5,32.3,29.9,28.2,27.1,25.8,23.4,21.6,19.7,18.3,17.4,16.3,15.2
Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1
Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
International Bunker Fuelsb,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9,1,1,1.1,1.1
Total,5338.1,5300.2,5400.1,5490.9,5580.4,5626.9,5813.9,5884,5926.1,5992.1,6160.4,6081.5,6113.6,6166.6,6274.4,6294.4,6214.9,6280.9,6107.2,5698.3,5875.5,5725.3,5513.6,5664.9,5704,5550.1,5421.6,5383.8,5547.2
